parameter,value
acquisition time,2025-05-08T15:37:10.077983
integration time,15
number of averages,100

wavelength,transmittance
238.2919921875,161.0825
238.58932495117188,154.905
238.88665771484375,166.23
239.18397521972656,154.8825
239.4812774658203,160.635
239.77853393554688,157.8275
240.0758056640625,158.7375
240.373046875,151.01
240.67025756835938,152.8475
240.96746826171875,150.98
241.26466369628906,155.8025
241.56182861328125,157.5625
241.8589630126953,157.265
242.15611267089844,152.0725
242.4532470703125,157.005
242.75033569335938,155.2025
243.0474090576172,155.5625
243.34449768066406,156.31
243.6415252685547,158.79
243.93853759765625,154.7675
244.2355499267578,156.62
244.53256225585938,150.98
244.82952880859375,150.2975
245.12649536132812,158.14
245.4234161376953,156.57
245.7203369140625,154.1
246.01724243164062,164.645
246.3141326904297,157.8625
246.61099243164062,160.81
246.9078369140625,156.01
247.20468139648438,155.06
247.50148010253906,152.8225
247.79827880859375,164.1675
248.09506225585938,153.73
248.39181518554688,155.465
248.68856811523438,151.93
248.9852752685547,160.1725
249.281982421875,157.2025
249.57867431640625,158.775
249.87535095214844,151.885
250.1719970703125,153.8375
250.4686279296875,161.925
250.76524353027344,151.52
251.0618438720703,157.635
251.3583984375,154.44
251.6549835205078,158.0
251.95152282714844,159.575
252.24803161621094,153.5825
252.5445556640625,156.115
252.84104919433594,153.2925
253.13751220703125,160.845
253.4339599609375,166.16
253.73040771484375,163.6325
254.02682495117188,154.8325
254.32321166992188,165.6525
254.61959838867188,158.145
254.91595458984375,161.2475
255.21231079101562,167.0375
255.50863647460938,165.5975
255.80491638183594,160.4925
256.10125732421875,166.91
256.3974914550781,163.3175
256.6937561035156,168.475
256.9900207519531,170.96
257.2862243652344,177.335
257.5823974609375,173.6725
257.87860107421875,178.87
258.17474365234375,185.535
258.47088623046875,187.795
258.7669982910156,195.0675
259.0631408691406,212.855
259.3592224121094,214.6425
259.6552734375,232.3025
259.9513244628906,247.245
260.24737548828125,251.245
260.54339599609375,277.3075
260.8393859863281,295.1725
261.1354064941406,306.4975
261.43133544921875,333.065
261.7272644042969,345.565
262.023193359375,380.1325
262.3191223144531,402.235
262.614990234375,426.8925
262.9108581542969,451.565
263.2066955566406,483.1775
263.5025939941406,495.45
263.79840087890625,529.5425
264.09417724609375,559.4675
264.3899841308594,589.05
264.6856994628906,607.315
264.9814453125,642.2375
265.2771911621094,658.6925
265.5729064941406,687.08
